starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 13 18:27:24 2018	1520987244	86	5121	5207	4940
Tue Mar 13 18:27:24 2018	1520987244	83	5157	5240	4958
Tue Mar 13 18:27:24 2018	1520987244	86	5184	5270	4977
Tue Mar 13 18:27:24 2018	1520987244	83	5190	5273	4980
Tue Mar 13 18:27:24 2018	1520987244	94	5182	5276	4975
Tue Mar 13 18:27:24 2018	1520987244	85	5198	5283	5012
Tue Mar 13 18:27:24 2018	1520987244	85	5234	5319	5052
Tue Mar 13 18:27:24 2018	1520987244	86	5235	5321	5043
Tue Mar 13 18:27:24 2018	1520987244	87	5238	5325	5000
Tue Mar 13 18:27:24 2018	1520987244	85	5252	5336	5071
Tue Mar 13 18:27:24 2018	1520987244	86	5257	5343	5104
Tue Mar 13 18:27:24 2018	1520987244	83	5260	5343	5017
Tue Mar 13 18:27:24 2018	1520987244	86	5262	5348	5038
Tue Mar 13 18:27:24 2018	1520987244	85	5263	5348	5023
Tue Mar 13 18:27:24 2018	1520987244	84	5270	5354	5026
Tue Mar 13 18:27:24 2018	1520987244	84	5271	5355	5103
Tue Mar 13 18:27:24 2018	1520987244	85	5276	5361	5032
Tue Mar 13 18:27:24 2018	1520987244	85	5281	5366	5035
Tue Mar 13 18:27:24 2018	1520987244	83	5283	5366	5050
Tue Mar 13 18:27:24 2018	1520987244	87	5285	5372	5110
Tue Mar 13 18:27:24 2018	1520987244	87	5290	5377	5112
Tue Mar 13 18:27:24 2018	1520987244	83	5301	5384	5098
Tue Mar 13 18:27:24 2018	1520987244	86	5304	5390	5063
Tue Mar 13 18:27:24 2018	1520987244	87	5308	5395	5131
Tue Mar 13 18:27:24 2018	1520987244	85	5319	5404	5074
Tue Mar 13 18:27:24 2018	1520987244	86	5317	5404	5090
Tue Mar 13 18:27:24 2018	1520987244	83	5321	5404	5083
Tue Mar 13 18:27:24 2018	1520987244	84	5324	5408	5141
Tue Mar 13 18:27:24 2018	1520987244	84	5329	5414	5098
Tue Mar 13 18:27:24 2018	1520987244	85	5330	5415	5086
Tue Mar 13 18:27:24 2018	1520987244	85	5353	5438	5127
Tue Mar 13 18:27:24 2018	1520987244	85	5390	5475	5122
Tue Mar 13 18:27:24 2018	1520987244	87	5391	5478	5159
Tue Mar 13 18:27:24 2018	1520987244	87	5442	5529	5218
Tue Mar 13 18:27:24 2018	1520987244	96	6858	6954	6650
Tue Mar 13 18:27:24 2018	1520987244	87	7139	7226	6965
Tue Mar 13 18:27:24 2018	1520987244	83	7276	7359	6908
